G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             101         1.7116070480      0.3333300000      0.3333300000      0.0000000000
M                             151         2.5674105721      0.5000000000      0.0000000000      0.0000000000
G                             238         4.0497205800      0.0000000000      0.0000000000      0.0000000000
