G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             101         1.7114102496      0.3333300000      0.3333300000      0.0000000000
M                             151         2.5671153745      0.0000000000      0.5000000000      0.0000000000
G                             238         4.0492549484      0.0000000000      0.0000000000      0.0000000000
A                             266         4.5216186440      0.0000000000      0.0000000000      0.5000000000
H                             366         6.2330288936      0.3333300000      0.3333300000      0.5000000000
L                             416         7.0887340186      0.0000000000      0.5000000000      0.5000000000
A                             503         8.5708735924      0.0000000000      0.0000000000      0.5000000000
