G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             101         1.7114108190      0.3333300000      0.3333300000      0.0000000000
M                             151         2.5671162287      0.5000000000      0.0000000000      0.0000000000
G                             238         4.0492559481      0.0000000000      0.0000000000      0.0000000000
A                             266         4.5216196797      0.0000000000      0.0000000000      0.5000000000
H                             366         6.2330304988      0.3333300000      0.3333300000      0.5000000000
L                             416         7.0887359084      0.5000000000      0.0000000000      0.5000000000
A                             503         8.5708756278      0.0000000000      0.0000000000      0.5000000000
